Prestazione,Regione,Provincia,Fonte,Ospedale,Tipologia,Eseguiti,Rinviati,Eseguiti nel 2019,Variazione percentuale,Note,Traduzione
Screening oncologico,Friuli Venezia Giulia,Pordenone,As Friuli Occidentale,As Friuli Occidentale,Screening cancro al colon retto,2065,:,4647,-55.5627286421347,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Friuli Venezia Giulia,Pordenone,As Friuli Occidentale,As Friuli Occidentale,Screening cancro al seno,640,:,3803,-83.1711806468578,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Veneto,Vicenza,Azienda ULSS 8 Berica,Ospedale di Montecchio-Arzignano,Totale,1678,:,4805,-65.0780437044745,"L'azienda non ha fornito dati che permettessero di distinguere tra gli screening per il cancro al seno e quelli per il cancro al colon retto. Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The company has not provided data that allowed to distinguish between sinus cancer screenings and those for rectal colon cancer. The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Veneto,Vicenza,Azienda ULSS 8 Berica,Ospedale di Valdagno,Totale,179,:,1601,-88.8194878201124,"L'azienda non ha fornito dati che permettessero di distinguere tra gli screening per il cancro al seno e quelli per il cancro al colon retto. Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The company has not provided data that allowed to distinguish between sinus cancer screenings and those for rectal colon cancer. The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Veneto,Vicenza,Azienda ULSS 8 Berica,Ospedale San Bortolo di Vicenza,Totale,1848,:,3435,-46.2008733624454,"L'azienda non ha fornito dati che permettessero di distinguere tra gli screening per il cancro al seno e quelli per il cancro al colon retto. Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The company has not provided data that allowed to distinguish between sinus cancer screenings and those for rectal colon cancer. The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Liguria,Savona,Asl 2,Asl 2,Screening cancro al colon retto,554,:,3389,-83.652994983771,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Liguria,Savona,Asl 2,Asl 2,Screening cancro al seno,378,:,2808,-86.5384615384615,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Abruzzo,L'Aquila,Asl 1 Abruzzo,Asl 1 Abruzzo,Screening cancro al seno,142,:,639,-77.7777777777778,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Abruzzo,L'Aquila,Asl 1 Abruzzo,Asl 1 Abruzzo,Screening cancro al colon retto,205,:,1186,-82.7150084317032,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lombardia,Brescia,Asst Franciacorta,Asst Franciacorta,Screening cancro al seno,711,:,3285,-78.3561643835616,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lombardia,Brescia,Asst Franciacorta,Asst Franciacorta,Screening cancro al colon retto,41,:,365,-88.7671232876712,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lombardia,Brescia,Asst del Garda,Asst del Garda,Screening cancro al seno,31,:,182,-82.967032967033,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lazio,Rieti,Asl Rieti,Asl Rieti,Screening cancro al seno,6,:,13,-53.8461538461539,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lazio,Rieti,Asl Rieti,Asl Rieti,Screening cancro al colon retto,15,:,26,-42.3076923076923,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019. L'aumento registrato nel 2020 è dovuto ad un incremento negli inviti","The comparison is not on the referrals, but on the performance of the same period of 2019. The increase recorded in 2020 is due to an increase in invitations"
Screening oncologico,Lombardia,Varese,Asst Sette Laghi,Asst Sette Laghi,Screening cancro al colon retto,158,:,176,-10.2272727272727,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lombardia,Varese,Asst Sette Laghi,Asst Sette Laghi,Screening cancro al seno,4021,:,3399,18.2994998528979,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lombardia,Milano,IRCCS Ca' Granda Ospedale Maggiore Policlinico,IRCCS Ca' Granda Ospedale Maggiore Policlinico,Screening cancro al seno,425,:,2790,-84.7670250896057,,
Screening oncologico,Lombardia,Milano,IRCCS Ca' Granda Ospedale Maggiore Policlinico,IRCCS Ca' Granda Ospedale Maggiore Policlinico,Screening cancro al colon retto,60,:,94,-36.1702127659574,,
Screening oncologico,Lombardia,Lodi,Asst Lodi,Asst Lodi,Screening cancro al colon retto,556,:,2221,-74.966231427285,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lombardia,Lodi,Asst Lodi,Asst Lodi,Screening cancro al seno,123,:,2451,-94.9816401468788,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lombardia,Brescia,Asst Valcamonica,Asst Valcamonica,Screening cancro al colon retto,338,:,1592,-78.7688442211055,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lombardia,Brescia,Asst Valcamonica,Asst Valcamonica,Screening cancro al seno,267,:,1209,-77.9156327543424,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lombardia,Milano,Asst Rhodense,Asst Rhodense,Screening cancro al colon retto,123,:,169,-27.2189349112426,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Lombardia,Milano,Asst Rhodense,Asst Rhodense,Screening cancro al seno,496,:,2650,-81.2830188679245,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Liguria,Genova,IRCCS AOU San Martino,Ospedale Policlinico San Martino,Screening cancro al seno,723,:,3499,-79.3369534152615,,
Screening oncologico,Piemonte,Torino,Asl Torino 3,Asl Torino 3,Screening cancro al seno,522,:,2600,-79.9230769230769,L'azienda precisa che gli esami di approfondimento non sono mai stati sospesi,The company specifies that the in-depth examination exams have never been suspended
Screening oncologico,Piemonte,Torino,Asl Torino 3,Asl Torino 3,Screening cancro al colon retto,305,:,1150,-73.4782608695652,L'azienda precisa che gli esami di approfondimento non sono mai stati sospesi,The company specifies that the in-depth examination exams have never been suspended
Screening oncologico,Campania,Avellino,AORN San Giuseppe Moscati di Avellino,AORN San Giuseppe Moscati di Avellino,Totale,526,:,1342,-60.8047690014903,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019. I dati contengono anche gli screening per il cancro della protstata","The comparison is not on the postponements, but on the performance of the same period of 2019. The data also contain the screening for the protestate cancer"
Screening oncologico,Emilia Romagna,Bologna,Ausl Bologna,Ausl Bologna,Screening cancro al seno,3025,:,12570,-75.9347653142403,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019. L'Ausl ha recuperato le visite sospese tra maggio e luglio 2020","The comparison is not on the postponements, but on the performance of the same period of 2019. The AUSL has recovered the suspended visits between May and July 2020"
Screening oncologico,Emilia Romagna,Bologna,Ausl Bologna,Ausl Bologna,Screening cancro al colon retto,3031,:,10921,-72.2461313066569,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019. L'Ausl ha recuperato le visite sospese tra maggio e luglio 2020","The comparison is not on the postponements, but on the performance of the same period of 2019. The AUSL has recovered the suspended visits between May and July 2020"
Screening oncologico,Sicilia,Catania,Asp Catania,Asp Catania,Screening cancro al seno,175,:,3447,-94.9231215549753,,
Screening oncologico,Sicilia,Catania,Asp Catania,Asp Catania,Screening cancro al colon retto,291,:,2614,-88.867635807192,,
Screening oncologico,Basilicata,Matera,ASM Matera,Distretto di Matera,Screening cancro al seno,204,628,:,-75.4807692307692,,
Screening oncologico,Basilicata,Matera,ASM Matera,Distretto di Matera,Screening cancro al colon retto,12,52,:,-81.25,,
Screening oncologico,Basilicata,Matera,ASM Matera,Distretto di Policoro,Screening cancro al seno,72,467,:,-86.6419294990724,,
Screening oncologico,Basilicata,Matera,ASM Matera,Distretto di Policoro,Screening cancro al colon retto,8,0,:,0.0,,
Screening oncologico,Basilicata,Potenza,AO San Carlo,AO San Carlo,Screening cancro al seno,:,:,:,-100.0,Le attivitá sono state sospese nel periodo considerato,Activities have been suspended in the period considered
Screening oncologico,Basilicata,Potenza,AO San Carlo,AO San Carlo,Screening cancro al colon retto,:,:,:,-100.0,Le attivitá sono state sospese nel periodo considerato,Activities have been suspended in the period considered
Screening oncologico,Veneto,Vicenza,Ulss 7 Pedemontana,Distretto 1 Bassano,Screening cancro al seno,235,1148,:,-83.0079537237889,,
Screening oncologico,Veneto,Vicenza,Ulss 7 Pedemontana,Distretto 1 Bassano,Screening cancro al colon retto,1441,3077,:,-68.1053563523683,,
Screening oncologico,Veneto,Vicenza,Ulss 7 Pedemontana,Distretto 2 Alto Vicentino,Screening cancro al seno,370,1193,:,-76.3275751759437,,
Screening oncologico,Veneto,Vicenza,Ulss 7 Pedemontana,Distretto 2 Alto Vicentino,Screening cancro al colon retto,610,2786,:,-82.037691401649,,
Screening oncologico,Lazio,Roma,Asl Roma 6,Unità mobile Nettuno,Screening cancro al colon retto,578,12829,:,-95.6888192735138,,
Screening oncologico,Lazio,Roma,Asl Roma 6,Ospedale Ariccia,Screening cancro al colon retto,91,48,:,-34.5323741007194,,
Screening oncologico,Lazio,Roma,Asl Roma 6,Ospedale dei Castelli,Screening cancro al colon retto,83,35,:,-29.6610169491525,,
Screening oncologico,Lazio,Roma,Asl Roma 6,Unità mobile Marino,Screening cancro al seno,148,1944,:,-92.925430210325,,
Screening oncologico,Lazio,Roma,Asl Roma 6,Unità mobile Ariccia,Screening cancro al seno,259,4352,:,-94.382997180655,,
Screening oncologico,Piemonte,Verbania,Asl Vco,Asl Vco,Screening cancro al colon retto,34,270,:,-88.8157894736842,,
Screening oncologico,Piemonte,Verbania,Asl Vco,Asl Vco,Screening cancro al seno,256,1650,:,-86.5687303252886,,
Screening oncologico,Puglia,Bari,Policlinico di Bari,Policlinico di Bari,Screening cancro al seno,575,2260,:,-79.7178130511464,,
Screening oncologico,Toscana,Siena,AOU Senese,AOU Senese,Screening cancro al seno,327,825,:,-71.6145833333333,,
Screening oncologico,Toscana,Siena,AOU Senese,AOU Senese,Screening cancro al colon retto,3,15,:,-83.3333333333333,,
Screening oncologico,Calabria,Cosenza,Asp Cosenza,Ospedale di Cetraro,Screening cancro al seno,12,228,:,-95.0,,
Screening oncologico,Calabria,Cosenza,Asp Cosenza,Ospedale di Praia a Mare,Screening cancro al seno,20,464,:,-95.8677685950413,,
Screening oncologico,Calabria,Cosenza,Asp Cosenza,Poliambulatorio di Rende,Screening cancro al seno,42,631,:,-93.7592867756315,,
Screening oncologico,Sicilia,Catania,Ao Canizzaro,Ao Canizzaro,Screening cancro al seno,263,305,:,-53.6971830985916,"Il confronto non è sui rinvii, ma sulle prestazioni dello stesso periodo del 2019","The comparison is not on the referrals, but on the performance of the same period of 2019"
Screening oncologico,Piemonte,Torino,Asl Torino 5,Asl Torino 5,Screening cancro al seno,348,3500,:,-90.956340956341,,
Screening oncologico,Piemonte,Torino,Asl Torino 5,Asl Torino 5,Screening cancro al colon retto,206,303,:,-59.5284872298625,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Montecchio,Screening cancro al seno,47,660,:,-93.3521923620934,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Reggio Emilia,Screening cancro al seno,445,4521,:,-91.0390656463955,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Guastalla,Screening cancro al seno,145,1652,:,-91.9309961046188,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Correggio,Screening cancro al seno,53,906,:,-94.473409801877,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Scandiano,Screening cancro al seno,153,1473,:,-90.590405904059,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Castelnovo Monti,Screening cancro al seno,56,608,:,-91.566265060241,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Montecchio,Screening cancro al colon retto,126,1260,:,-90.9090909090909,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Reggio Emilia,Screening cancro al colon retto,474,4507,:,-90.4838385866292,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Guastalla,Screening cancro al colon retto,167,1554,:,-90.2963393375944,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Correggio,Screening cancro al colon retto,191,894,:,-82.3963133640553,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Scandiano,Screening cancro al colon retto,176,1732,:,-90.7756813417191,,
Screening oncologico,Emilia Romagna,Reggio Emilia,Ausl Reggio Emilia,Ospedale di Castelnovo Monti,Screening cancro al colon retto,96,764,:,-88.8372093023256,,
Screening oncologico,Emilia Romagna,Modena,Ausl Modena,Ausl Modena,Screening cancro al seno,1482,13907,:,-90.3697446227825,,
Screening oncologico,Emilia Romagna,Modena,Ausl Modena,Ausl Modena,Screening cancro al colon retto,1657,0,:,0.0,,
Screening oncologico,Lombardia,Mantova,Asst Mantova,Asst Mantova,Screening cancro al seno,304,86,:,-22.0512820512821,,
Screening oncologico,Lombardia,Mantova,Asst Mantova,Asst Mantova,Screening cancro al colon retto,1,69,:,-98.5714285714286,,
Screening oncologico,Lombardia,Lecco,Asst Lecco,Asst Lecco,Screening cancro al seno,295,1944,:,-86.8244752121483,,
Screening oncologico,Lombardia,Lecco,Asst Lecco,Asst Lecco,Screening cancro al colon retto,70,43,:,-38.0530973451327,,
Screening oncologico,Piemonte,Torino,Asl Torino 4,Asl Torino 4,Screening cancro al seno,720,10031,:,-93.3029485629244,,
Screening oncologico,Piemonte,Torino,Asl Torino 4,Asl Torino 4,Screening cancro al colon retto,155,1947,:,-92.6260704091342,,
Screening oncologico,Lombardia,Como,Asst Lariana,Asst Lariana,Screening cancro al colon retto,99,21,:,-17.5,L'azienda precisa che i rinvii sono stati richiesti dai pazienti,The company specifies that the referrals have been requested by patients
Screening oncologico,Calabria,Crotone,Asp Crotone,Asp Crotone,Screening cancro al colon retto,159,2092,:,-92.9364726788094,,
Screening oncologico,Calabria,Crotone,Asp Crotone,Asp Crotone,Screening cancro al seno,26,72,:,-73.4693877551021,,
Screening oncologico,Campania,Napoli,Asl Napoli 1 Centro,Asl Napoli 1 Centro,Screening cancro al colon retto,120,14,:,-10.4477611940299,In 9 casi i rinvii sono dovuti a rinuncia da parte degli assistiti,In 9 cases the referrals are due to waiver by the assisted
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale San Giovanni Battista di Foligno,Screening cancro al seno,192,1372,:,-87.7237851662404,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale San Giovanni Battista di Foligno,Screening cancro al colon retto,30,6,:,-16.6666666666667,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale civile San Matteo degli Infermi di Spoleto,Screening cancro al seno,73,1415,:,-95.0940860215054,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale civile San Matteo degli Infermi di Spoleto,Screening cancro al colon retto,14,2,:,-12.5,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Unità mobile di Norcia,Screening cancro al seno,0,26,:,-100.0,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Centro screening mammografico di Terni,Screening cancro al seno,267,1569,:,-85.4575163398693,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale Santa Maria della Stella di Orvieto,Screening cancro al seno,38,773,:,-95.3144266337855,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale di Narni,Screening cancro al colon retto,43,8,:,-15.6862745098039,,
Screening oncologico,Umbria,Terni,Azienda Usl Umbria 2,Ospedale Santa Maria della Stella di Orvieto,Screening cancro al colon retto,20,7,:,-25.9259259259259,,
Screening oncologico,Lombardia,Cremona,Asst Cremona,Asst Cremona,Screening cancro al seno,92,1510,:,-94.2571785268414,Il dati sono una nostra elaborazione a partire dai dati forniti,The data is our processing starting from the data provided
Screening oncologico,Emilia Romagna,Forlì-Cesena,Ausl Romagna,Ambito di Forlì,Screening cancro al seno,580,3007,:,-83.8304990242543,,
Screening oncologico,Emilia Romagna,Ravenna,Ausl Romagna,Ambito di Ravenna,Screening cancro al seno,615,7900,:,-92.7774515560775,,
Screening oncologico,Emilia Romagna,Forlì-Cesena,Ausl Romagna,Ambito di Cesena,Screening cancro al seno,331,4001,:,-92.3591874422899,,
Screening oncologico,Emilia Romagna,Rimini,Ausl Romagna,Ambito di Rimini,Screening cancro al seno,483,7825,:,-94.1863264323544,,
Screening oncologico,Emilia Romagna,Forlì-Cesena,Ausl Romagna,Ambito di Forlì,Screening cancro al colon retto,328,4500,:,-93.2062966031483,,
Screening oncologico,Emilia Romagna,Ravenna,Ausl Romagna,Ambito di Ravenna,Screening cancro al colon retto,1025,11600,:,-91.8811881188119,,
Screening oncologico,Emilia Romagna,Forlì-Cesena,Ausl Romagna,Ambito di Cesena,Screening cancro al colon retto,576,4506,:,-88.6658795749705,,
Screening oncologico,Emilia Romagna,Rimini,Ausl Romagna,Ambito di Rimini,Screening cancro al colon retto,638,8600,:,-93.0937432344663,,
